dataset,format,bytes,mb,ratio_vs_cityjsonseq,baseline_format,ratio_vs_baseline
freiburg_lod2,cityparquet,77114066,73.54170417785645,3.647580403813748,cityjsonseq,3.647580403813748
freiburg_lod2,cityparquet-hilbert,73604989,70.19518756866455,3.821476775168053,cityjsonseq,3.821476775168053
kuopio_lod2_2_textured,citygml,981686890,936.2095737457275,0.13751092061543166,cityjsonseq,0.13751092061543166
kuopio_lod2_2_textured,cityjson,143350825,136.71000003814697,0.941694392062271,cityjsonseq,0.941694392062271
kuopio_lod2_2_textured,cityjsonseq,134992668,128.73904037475586,1.0,cityjsonseq,1.0
kuopio_lod2_2_textured,cityparquet,31964941,30.484143257141113,4.2231477292575015,cityjsonseq,4.2231477292575015
kuopio_lod2_2_textured,cityparquet-hilbert,30381502,28.974058151245117,4.443251949821309,cityjsonseq,4.443251949821309
luxembourg_diekirch_bastendorf_lod2,citygml,57876265,55.19510746002197,0.0573322760202304,cityjsonseq,0.0573322760202304
luxembourg_diekirch_bastendorf_lod2,cityjson,3948888,3.7659530639648438,0.8402816185214673,cityjsonseq,0.8402816185214673
luxembourg_diekirch_bastendorf_lod2,cityjsonseq,3318178,3.164461135864258,1.0,cityjsonseq,1.0
luxembourg_diekirch_bastendorf_lod2,cityjsonseq-gz,967795,0.9229612350463867,3.4285959319897295,cityjsonseq,3.4285959319897295
luxembourg_diekirch_bastendorf_lod2,flatcitybuf,3389840,3.2328033447265625,0.9788597691926463,cityjsonseq,0.9788597691926463
luxembourg_diekirch_bastendorf_lod2,cityparquet,1800579,1.7171659469604492,1.8428394422016474,cityjsonseq,1.8428394422016474
luxembourg_diekirch_bastendorf_lod2,cityparquet-hilbert,1780989,1.6984834671020508,1.863109766539827,cityjsonseq,1.863109766539827
nyc_da13_buildings,cityjson,110083137,104.98346042633057,0.9092035231517793,cityjsonseq,0.9092035231517793
nyc_da13_buildings,cityjsonseq,100087976,95.45133209228516,1.0,cityjsonseq,1.0
nyc_da13_buildings,cityjsonseq-gz,12797729,12.204865455627441,7.820760699027148,cityjsonseq,7.820760699027148
nyc_da13_buildings,flatcitybuf,85047072,81.10720825195312,1.1768538721709314,cityjsonseq,1.1768538721709314
nyc_da13_buildings,cityparquet,22589023,21.54257106781006,4.430823590732543,cityjsonseq,4.430823590732543
nyc_da13_buildings,cityparquet-hilbert,21151474,20.17161750793457,4.73196222636777,cityjsonseq,4.73196222636777
plateau_chuo_bldg,citygml,168306746,160.50982093811035,0.09890018906312882,cityjsonseq,0.09890018906312882
plateau_chuo_bldg,cityjson,16671585,15.899262428283691,0.9984395005034015,cityjsonseq,0.9984395005034015
plateau_chuo_bldg,cityjsonseq,16645569,15.874451637268066,1.0,cityjsonseq,1.0
plateau_chuo_bldg,cityparquet,2624284,2.5027122497558594,6.342899244136686,cityjsonseq,6.342899244136686
plateau_chuo_bldg,cityparquet-hilbert,2570708,2.451618194580078,6.475091297805896,cityjsonseq,6.475091297805896
plateau_chuo_fld,citygml,5439116,5.187145233154297,0.048246810694973226,cityjsonseq,0.048246810694973226
plateau_chuo_fld,cityjson,304437,0.29033374786376953,0.8619845813748,cityjsonseq,0.8619845813748
plateau_chuo_fld,cityjsonseq,262420,0.2502632141113281,1.0,cityjsonseq,1.0
plateau_chuo_fld,cityjsonseq-gz,42444,0.040477752685546875,6.18273489774762,cityjsonseq,6.18273489774762
plateau_chuo_fld,flatcitybuf,394800,0.3765106201171875,0.6646909827760892,cityjsonseq,0.6646909827760892
plateau_chuo_fld,cityparquet,86178,0.08218574523925781,3.045092715078094,cityjsonseq,3.045092715078094
plateau_chuo_fld,cityparquet-hilbert,84706,0.08078193664550781,3.098009586097797,cityjsonseq,3.098009586097797
plateau_chuo_frn,citygml,117380205,111.94248676300049,0.05354986388037063,cityjsonseq,0.05354986388037063
plateau_chuo_frn,cityjson,6837694,6.520933151245117,0.9192710290925566,cityjsonseq,0.9192710290925566
plateau_chuo_frn,cityjsonseq,6285694,5.994504928588867,1.0,cityjsonseq,1.0
plateau_chuo_frn,cityparquet,1235282,1.1780567169189453,5.088468867837466,cityjsonseq,5.088468867837466
plateau_chuo_frn,cityparquet-hilbert,1144162,1.0911579132080078,5.493709806828054,cityjsonseq,5.493709806828054
plateau_chuo_tran,citygml,36597975,34.90254878997803,0.043631840286245345,cityjsonseq,0.043631840286245345
plateau_chuo_tran,cityjson,1894280,1.8065261840820312,0.8429783347762738,cityjsonseq,0.8429783347762738
plateau_chuo_tran,cityjsonseq,1596837,1.522862434387207,1.0,cityjsonseq,1.0
plateau_chuo_tran,cityjsonseq-gz,256995,0.24508953094482422,6.213494425961595,cityjsonseq,6.213494425961595
plateau_chuo_tran,flatcitybuf,2264050,2.1591663360595703,0.7053011196749188,cityjsonseq,0.7053011196749188
plateau_chuo_tran,cityparquet,459395,0.4381132125854492,3.4759564209449385,cityjsonseq,3.4759564209449385
plateau_chuo_tran,cityparquet-hilbert,443595,0.42304515838623047,3.599763297602543,cityjsonseq,3.599763297602543
plateau_chuo_veg,citygml,63744856,60.791831970214844,0.04860950662434629,cityjsonseq,0.04860950662434629
plateau_chuo_veg,cityjson,3632740,3.4644508361816406,0.8529666312480386,cityjsonseq,0.8529666312480386
plateau_chuo_veg,cityjsonseq,3098606,2.9550609588623047,1.0,cityjsonseq,1.0
plateau_chuo_veg,cityparquet,909243,0.867121696472168,3.4078964589224223,cityjsonseq,3.4078964589224223
plateau_chuo_veg,cityparquet-hilbert,903524,0.8616676330566406,3.4294672858717643,cityjsonseq,3.4294672858717643
plateau_edogawa_htd,citygml,532458174,507.7916851043701,0.04876927478626706,cityjsonseq,0.04876927478626706
plateau_edogawa_htd,cityjson,34292356,32.703739166259766,0.7572416138453713,cityjsonseq,0.7572416138453713
plateau_edogawa_htd,cityjsonseq,25967599,24.76463222503662,1.0,cityjsonseq,1.0
plateau_edogawa_htd,cityjsonseq-gz,1582589,1.5092744827270508,16.408302471456583,cityjsonseq,16.408302471456583
plateau_edogawa_htd,flatcitybuf,34453816,32.85771942138672,0.7536929726448879,cityjsonseq,0.7536929726448879
plateau_edogawa_htd,cityparquet,2137929,2.0388879776000977,12.146146574558838,cityjsonseq,12.146146574558838
plateau_edogawa_htd,cityparquet-hilbert,2047441,1.952591896057129,12.682953501468418,cityjsonseq,12.682953501468418
plateau_edogawa_luse,citygml,561498161,535.4863748550415,0.20889512405722732,cityjsonseq,0.20889512405722732
plateau_edogawa_luse,cityjson,101582891,96.8769941329956,1.154665188648746,cityjsonseq,1.154665188648746
plateau_edogawa_luse,cityjsonseq,117294228,111.86049270629883,1.0,cityjsonseq,1.0
plateau_edogawa_luse,cityjsonseq-gz,11418363,10.889399528503418,10.272420661350493,cityjsonseq,10.272420661350493
plateau_edogawa_luse,flatcitybuf,126981828,121.09930801391602,0.9237087687854044,cityjsonseq,0.9237087687854044
plateau_edogawa_luse,cityparquet,15743290,15.013971328735352,7.450426689719874,cityjsonseq,7.450426689719874
plateau_edogawa_luse,cityparquet-hilbert,13644147,13.012072563171387,8.596669912747203,cityjsonseq,8.596669912747203
plateau_yokohama_squr,citygml,5569485,5.311474800109863,0.039649806041312616,cityjsonseq,0.039649806041312616
plateau_yokohama_squr,cityjson,220729,0.21050357818603516,1.0004530442307082,cityjsonseq,1.0004530442307082
plateau_yokohama_squr,cityjsonseq,220829,0.21059894561767578,1.0,cityjsonseq,1.0
plateau_yokohama_squr,cityjsonseq-gz,68184,0.06502532958984375,3.2387216942391177,cityjsonseq,3.2387216942391177
plateau_yokohama_squr,flatcitybuf,245296,0.2339324951171875,0.9002552018785467,cityjsonseq,0.9002552018785467
plateau_yokohama_squr,cityparquet,119062,0.11354637145996094,1.8547395474626664,cityjsonseq,1.8547395474626664
plateau_yokohama_squr,cityparquet-hilbert,119070,0.11355400085449219,1.8546149323927101,cityjsonseq,1.8546149323927101
rotterdam_delfshaven,cityjson,2731804,2.6052513122558594,1.0332527516615395,cityjsonseq,1.0332527516615395
rotterdam_delfshaven,cityjsonseq,2822644,2.691883087158203,1.0,cityjsonseq,1.0
rotterdam_delfshaven,cityjsonseq-gz,714878,0.6817607879638672,3.948427563864044,cityjsonseq,3.948427563864044
rotterdam_delfshaven,flatcitybuf,3017520,2.8777313232421875,0.9354184893554972,cityjsonseq,0.9354184893554972
rotterdam_delfshaven,cityparquet,881318,0.8404903411865234,3.2027531492605394,cityjsonseq,3.2027531492605394
rotterdam_delfshaven,cityparquet-hilbert,867589,0.827397346496582,3.2534345179572357,cityjsonseq,3.2534345179572357
vienna_102081,cityjson,5635634,5.37455940246582,0.8941299239801591,cityjsonseq,0.8941299239801591
vienna_102081,cityjsonseq,5038989,4.805554389953613,1.0,cityjsonseq,1.0
vienna_102081,cityjsonseq-gz,1206224,1.1503448486328125,4.177490250567059,cityjsonseq,4.177490250567059
vienna_102081,flatcitybuf,4410846,4.206510543823242,1.142408735195017,cityjsonseq,1.142408735195017
vienna_102081,cityparquet,1590763,1.5170698165893555,3.167655395555466,cityjsonseq,3.167655395555466
vienna_102081,cityparquet-hilbert,1574745,1.5017938613891602,3.199876170427593,cityjsonseq,3.199876170427593
zurich_building_lod2,cityjson,292500409,278.95012760162354,0.8858840228151612,cityjsonseq,0.8858840228151612
zurich_building_lod2,cityjsonseq,259121439,247.1174612045288,1.0,cityjsonseq,1.0
zurich_building_lod2,cityjsonseq-gz,51164879,48.794631004333496,5.0644395934171955,cityjsonseq,5.0644395934171955
zurich_building_lod2,flatcitybuf,206341738,196.78281593322754,1.2557878086691312,cityjsonseq,1.2557878086691312
zurich_building_lod2,cityparquet,88345850,84.2531681060791,2.933034647354686,cityjsonseq,2.933034647354686
zurich_building_lod2,cityparquet-hilbert,84107680,80.21133422851562,3.080829705444259,cityjsonseq,3.080829705444259
